>>> python.exe n3sort.py 
w - width, длина входной последовательности

9 <-> 6 конфликтующие числа в десятичной записи

'01001' <-> '00110' конфликтующие числа в бинарной записи

'c=2 o=2 p=0 t=1 e=0' с - count,    общее количество сделанных перестановок.
                      o - ones,     количество единиц в последовательности.
                      p - pos,      позиция на которой закончилась сортировка.
                      t - tool,     способ (один из двух),
                                    на котором закончилось изменение  
                                    последовательности.
                      e - exchange, количество смены tool.

w= 5 |   9 <->   6 = '    01001' <-> '    00110' = 'c=2 o=2 p=0 t=1 e=0'
w= 5 |  10 <->   5 = '    01010' <-> '    00101' = 'c=3 o=2 p=1 t=0 e=1'
w= 5 |  21 <->  11 = '    10101' <-> '    01011' = 'c=3 o=3 p=2 t=0 e=1'
w= 6 |  18 <->  12 = '   010010' <-> '   001100' = 'c=2 o=2 p=0 t=1 e=0'
w= 6 |  19 <->  13 = '   010011' <-> '   001101' = 'c=4 o=3 p=2 t=0 e=1'
w= 6 |  20 <->  10 = '   010100' <-> '   001010' = 'c=3 o=2 p=1 t=0 e=1'
w= 6 |  25 <->  22 = '   011001' <-> '   010110' = 'c=3 o=3 p=2 t=0 e=1'
w= 6 |  35 <->  14 = '   100011' <-> '   001110' = 'c=3 o=3 p=2 t=1 e=0'
w= 6 |  37 <->  22 = '   100101' <-> '   010110' = 'c=3 o=3 p=2 t=0 e=1'
w= 6 |  41 <->  38 = '   101001' <-> '   100110' = 'c=2 o=3 p=1 t=1 e=0'
w= 6 |  42 <->  22 = '   101010' <-> '   010110' = 'c=3 o=3 p=2 t=0 e=1'
w= 6 |  49 <->  28 = '   110001' <-> '   011100' = 'c=2 o=3 p=2 t=0 e=1'
w= 6 |  51 <->  30 = '   110011' <-> '   011110' = 'c=2 o=4 p=2 t=1 e=0'
w= 6 |  53 <->  43 = '   110101' <-> '   101011' = 'c=3 o=4 p=3 t=0 e=1'
w= 7 |  10 <->   5 = '  0001010' <-> '  0000101' = 'c=5 o=2 p=1 t=0 e=1'
w= 7 |  21 <->  11 = '  0010101' <-> '  0001011' = 'c=6 o=3 p=2 t=0 e=1'
w= 7 |  25 <->  22 = '  0011001' <-> '  0010110' = 'c=4 o=3 p=2 t=1 e=0'
w= 7 |  33 <->  18 = '  0100001' <-> '  0010010' = 'c=3 o=2 p=0 t=1 e=0'
w= 7 |  34 <->  17 = '  0100010' <-> '  0010001' = 'c=4 o=2 p=1 t=0 e=1'
w= 7 |  35 <->  14 = '  0100011' <-> '  0001110' = 'c=5 o=3 p=2 t=0 e=1'
w= 7 |  36 <->  24 = '  0100100' <-> '  0011000' = 'c=2 o=2 p=0 t=1 e=0'
w= 7 |  37 <->  22 = '  0100101' <-> '  0010110' = 'c=4 o=3 p=2 t=1 e=0'
w= 7 |  38 <->  26 = '  0100110' <-> '  0011010' = 'c=4 o=3 p=2 t=0 e=1'
w= 7 |  39 <->  27 = '  0100111' <-> '  0011011' = 'c=5 o=4 p=2 t=1 e=0'
w= 7 |  40 <->  20 = '  0101000' <-> '  0010100' = 'c=3 o=2 p=1 t=0 e=1'
w= 7 |  41 <->  26 = '  0101001' <-> '  0011010' = 'c=4 o=3 p=2 t=0 e=1'
w= 7 |  42 <->  11 = '  0101010' <-> '  0001011' = 'c=6 o=3 p=2 t=0 e=1'
w= 7 |  43 <->  23 = '  0101011' <-> '  0010111' = 'c=6 o=4 p=3 t=0 e=1'
w= 7 |  45 <->  30 = '  0101101' <-> '  0011110' = 'c=4 o=4 p=2 t=1 e=0'
w= 7 |  46 <->  29 = '  0101110' <-> '  0011101' = 'c=5 o=4 p=3 t=0 e=1'
w= 7 |  49 <->  28 = '  0110001' <-> '  0011100' = 'c=3 o=3 p=2 t=1 e=0'
w= 7 |  50 <->  44 = '  0110010' <-> '  0101100' = 'c=3 o=3 p=2 t=0 e=1'
w= 7 |  51 <->  30 = '  0110011' <-> '  0011110' = 'c=4 o=4 p=2 t=1 e=0'
w= 7 |  57 <->  54 = '  0111001' <-> '  0110110' = 'c=3 o=4 p=2 t=1 e=0'
w= 7 |  58 <->  53 = '  0111010' <-> '  0110101' = 'c=4 o=4 p=3 t=0 e=1'
w= 7 |  65 <->  20 = '  1000001' <-> '  0010100' = 'c=3 o=2 p=1 t=0 e=1'
w= 7 |  69 <->  14 = '  1000101' <-> '  0001110' = 'c=5 o=3 p=2 t=0 e=1'
w= 7 |  70 <->  28 = '  1000110' <-> '  0011100' = 'c=3 o=3 p=2 t=1 e=0'
w= 7 |  71 <->  29 = '  1000111' <-> '  0011101' = 'c=5 o=4 p=3 t=0 e=1'
w= 7 |  74 <->  44 = '  1001010' <-> '  0101100' = 'c=3 o=3 p=2 t=0 e=1'
w= 7 |  77 <->  53 = '  1001101' <-> '  0110101' = 'c=4 o=4 p=3 t=0 e=1'
w= 7 |  81 <->  26 = '  1010001' <-> '  0011010' = 'c=4 o=3 p=2 t=0 e=1'
w= 7 |  82 <->  76 = '  1010010' <-> '  1001100' = 'c=2 o=3 p=1 t=1 e=0'
w= 7 |  83 <->  53 = '  1010011' <-> '  0110101' = 'c=4 o=4 p=3 t=0 e=1'
w= 7 |  84 <->  44 = '  1010100' <-> '  0101100' = 'c=3 o=3 p=2 t=0 e=1'
w= 7 |  85 <->  23 = '  1010101' <-> '  0010111' = 'c=6 o=4 p=3 t=0 e=1'
w= 7 |  87 <->  47 = '  1010111' <-> '  0101111' = 'c=5 o=5 p=4 t=0 e=1'
w= 7 |  89 <->  86 = '  1011001' <-> '  1010110' = 'c=3 o=4 p=3 t=0 e=1'
w= 7 |  93 <->  59 = '  1011101' <-> '  0111011' = 'c=4 o=5 p=4 t=0 e=1'
w= 7 |  97 <->  52 = '  1100001' <-> '  0110100' = 'c=2 o=3 p=2 t=1 e=0'
